model,map50,map75,map50_95,runtime_s,speed_preprocess_ms,speed_inference_ms,speed_postprocess_ms
yolo26n,0.9621988400657534,0.9176147896891695,0.8399118381696725,13.94923281299998,0.7100428810298529,32.21693038771833,0.08277889427786389
yolo26s,0.9742332428383293,0.9119183953908823,0.8408493120677552,21.620397188002244,0.6568054845856629,86.31503299563764,0.2681971585330869
yolo26m,0.9677457319042143,0.9116325350621868,0.8297627919094628,56.500101957997686,0.6646199824434904,239.828304220282,0.25800131717137786
yolo26l,0.973016129119873,0.9132560641783449,0.8541046415463521,73.38190656899678,0.720445057266958,313.7030335242284,0.2534305990934126
yolo26x,0.9743404540828702,0.9274127353393951,0.8474099189889298,154.01888770799997,0.8604167136509846,668.0737198105933,0.4247290176254315
